script,dataset,q_channel_file,status
scripts/OLinear/ILI_orthoLinear_S2.sh,ILI,ILI_COV_channel_ratio0.70.npy,MISSING
scripts/OLinear/Weather_orthoLinear.sh,weather,weather_COV_channel_ratio0.70.npy,EXISTS
scripts/OLinear/Wiki_orthoLinear_S2.sh,wiki,wiki_mini_COV_channel_ratio0.70.npy,MISSING
scripts/OLinear/Covid_orthoLinear_S2.sh,covid,covid_COV_channel_ratio0.70.npy,MISSING
scripts/OLinear/Nasdaq_orthoLinear_S2.sh,nasdaq,nasdaq_COV_channel_ratio0.70.npy,MISSING
scripts/OLinear/Wiki_orthoLinear.sh,wiki,wiki_mini_COV_channel_ratio0.70.npy,MISSING
scripts/OLinear/ILI_orthoLinear.sh,ILI,ILI_COV_channel_ratio0.70.npy\,MISSING
scripts/OLinear/Nasdaq_orthoLinear.sh,nasdaq,nasdaq_COV_channel_ratio0.70.npy,MISSING
scripts/OLinear/Covid_orthoLinear.sh,covid,covid_COV_channel_ratio0.70.npy,MISSING
scripts/OLinear/robust/Weather_orthoLinear.sh,weather,weather_COV_channel_ratio0.70.npy,EXISTS
scripts/OLinear/robust/Nasdaq_orthoLinear_S2.sh,nasdaq,nasdaq_COV_channel_ratio0.70.npy,MISSING
scripts/OLinear/robust/Wiki_orthoLinear.sh,wiki,wiki_mini_COV_channel_ratio0.70.npy,MISSING
scripts/OLinear/robust/ILI_orthoLinear.sh,ILI,ILI_COV_channel_ratio0.70.npy\,MISSING
scripts/OLinear/robust/Nasdaq_orthoLinear.sh,nasdaq,nasdaq_COV_channel_ratio0.70.npy,MISSING
scripts/ablation/var_temp/ILI_orthoLinear_S2_var_temp.sh,ILI,ILI_COV_channel_ratio0.70.npy,MISSING
scripts/ablation/var_temp/Nasdaq_orthoLinear_var_temp.sh,nasdaq,nasdaq_COV_channel_ratio0.70.npy,MISSING
scripts/ablation/var_temp/Weather_orthoLinear_var_temp.sh,weather,weather_COV_channel_ratio0.70.npy,EXISTS
scripts/ablation/attn_var/ILI_orthoLinear_S2.sh,ILI,ILI_COV_channel_ratio0.70.npy,MISSING
scripts/ablation/attn_var/Weather_orthoLinear.sh,weather,weather_COV_channel_ratio0.70.npy,EXISTS
scripts/ablation/attn_var/Nasdaq_orthoLinear.sh,nasdaq,nasdaq_COV_channel_ratio0.70.npy,MISSING
scripts/ablation/basis/ILI_orthoLinear_basis.sh,ILI,ILI_COV_channel_ratio0.70.npy\,MISSING
scripts/ablation/basis/Covid_orthoLinear_S2_basis.sh,covid,covid_COV_channel_ratio0.70.npy,MISSING
scripts/OLinear_C/ILI_orthoLinear_S2.sh,ILI,ILI_COV_channel_ratio0.70.npy,MISSING
scripts/OLinear_C/Weather_orthoLinear.sh,weather,weather_COV_channel_ratio0.70.npy,EXISTS
scripts/OLinear_C/Wiki_orthoLinear_S2.sh,wiki,wiki_mini_COV_channel_ratio0.70.npy,MISSING
scripts/OLinear_C/Covid_orthoLinear_S2.sh,covid,covid_COV_channel_ratio0.70.npy,MISSING
scripts/OLinear_C/Nasdaq_orthoLinear_S2.sh,nasdaq,nasdaq_COV_channel_ratio0.70.npy,MISSING
scripts/OLinear_C/Wiki_orthoLinear.sh,wiki,wiki_mini_COV_channel_ratio0.70.npy,MISSING
